k,Prediction_Percentage
1,45.00
2,45.00
3,46.00
4,49.00
5,51.00
6,48.00
7,51.00
8,51.00
9,51.00
10,51.00
11,50.00
12,50.00
13,50.00
14,49.00
15,47.00
16,49.00
17,50.00
18,51.00
19,54.00
20,56.00
21,57.00
22,57.00
23,55.00
24,55.00
25,53.00
26,53.00
27,57.00
28,57.00
29,56.00
30,54.00
31,55.00
32,54.00
33,54.00
34,55.00
35,57.00
36,56.00
37,55.00
38,55.00
39,55.00
40,54.00
41,53.00
42,55.00
43,55.00
44,55.00
45,55.00
46,55.00
47,56.00
48,55.00
49,55.00
50,55.00
51,53.00
52,53.00
53,55.00
54,55.00
55,56.00
56,56.00
57,57.00
58,58.00
59,58.00
60,58.00
61,59.00
62,58.00
63,59.00
64,59.00
65,59.00
